date,month,year,model,input_tokens,cached_input_tokens,cache_write_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens
2026-06-11,June,2026,claude-fable-5,11304230,10339215,874723,965015,172367,0,11476597
2026-06-17,June,2026,claude-opus-4-8,191952,139511,28983,52441,5158,0,197110
2026-06-18,June,2026,claude-opus-4-8,214859,118172,63711,96687,8369,0,223228
2026-06-19,June,2026,claude-opus-4-8,13144499,12709792,415598,434707,107701,0,13252200
2026-06-20,June,2026,claude-opus-4-8,11951377,11706722,226240,244655,47545,0,11998922
2026-06-21,June,2026,claude-opus-4-8,1168225,957834,180200,210391,28594,0,1196819
2026-06-22,June,2026,claude-opus-4-8,198035710,189339585,7320510,8696125,970083,0,199005793
2026-06-23,June,2026,claude-opus-4-8,5957417,5193423,686969,763994,168720,0,6126137
2026-06-24,June,2026,claude-haiku-4-5-20251001,1204411,1096775,107545,107636,9590,0,1214001
2026-06-24,June,2026,claude-opus-4-8,1759933,1591179,136489,168754,21650,0,1781583
2026-06-25,June,2026,claude-opus-4-8,22273349,19788365,2165675,2484984,280673,0,22554022
2026-06-26,June,2026,claude-opus-4-8,252594880,242888727,7028673,9706153,1427550,0,254022430
2026-06-27,June,2026,claude-opus-4-8,446778121,388349131,40517646,58428990,7322260,0,454100381
2026-06-28,June,2026,claude-opus-4-8,164260524,148684590,11665848,15575934,1491082,0,165751606
2026-06-29,June,2026,claude-opus-4-8,570347,301036,269263,269311,724,0,571071
2026-07-06,July,2026,claude-fable-5,1958069,1838590,100364,119479,50312,0,2008381
2026-07-06,July,2026,claude-opus-4-8,846147,711619,115828,134528,24283,0,870430
2026-07-07,July,2026,claude-opus-4-8,382664,278199,58768,104465,14000,0,396664
2026-07-08,July,2026,claude-fable-5,79272291,76206184,2936049,3066107,376199,0,79648490
2026-07-08,July,2026,claude-opus-4-8,13185178,10963633,1944518,2221545,263210,0,13448388
2026-07-09,July,2026,claude-fable-5,211048296,207586952,3398439,3461344,476810,0,211525106
2026-07-09,July,2026,claude-opus-4-8,11596843,9883143,1543006,1713700,150308,0,11747151
2026-07-10,July,2026,claude-fable-5,522310970,516379209,5665897,5931761,1015279,0,523326249
2026-07-10,July,2026,claude-opus-4-8,29417289,23960545,4816403,5456744,507630,0,29924919
2026-07-10,July,2026,claude-sonnet-5,29710318,28658606,959051,1051712,190420,0,29900738
2026-07-11,July,2026,claude-fable-5,233508681,228727984,4745875,4780697,595940,0,234104621
2026-07-11,July,2026,claude-opus-4-8,65059832,56260071,8252851,8799761,629809,0,65689641
2026-07-11,July,2026,claude-sonnet-5,13614758,13166611,395683,448147,88464,0,13703222
2026-07-12,July,2026,claude-fable-5,74727185,69650113,5073629,5077072,122148,0,74849333
2026-07-12,July,2026,claude-opus-4-8,11269700,9059030,2089978,2210670,120219,0,11389919
2026-07-13,July,2026,claude-fable-5,573688445,560434329,13177409,13254116,780641,0,574469086
2026-07-13,July,2026,claude-opus-4-8,69091189,60830283,7831029,8260906,678816,0,69770005
2026-07-14,July,2026,claude-fable-5,118977360,115302679,3673789,3674681,518943,0,119496303
2026-07-14,July,2026,claude-opus-4-8,33648281,29882509,3739529,3765772,453781,0,34102062
2026-07-15,July,2026,claude-fable-5,161185794,153570593,7609089,7615201,492727,0,161678521
2026-07-15,July,2026,claude-opus-4-8,6640606,5992448,647970,648158,80483,0,6721089
2026-07-16,July,2026,claude-fable-5,623965460,606965271,16996346,17000189,1428153,0,625393613
2026-07-16,July,2026,claude-sonnet-5,316536,186592,129932,129944,22105,0,338641
2026-07-17,July,2026,claude-fable-5,326265021,316372315,9889499,9892706,856168,0,327121189
2026-07-17,July,2026,claude-opus-4-8,25091143,21679654,3392698,3411489,369388,0,25460531
2026-07-18,July,2026,claude-fable-5,216187810,208384258,7802577,7803552,381237,0,216569047
2026-07-18,July,2026,claude-opus-4-8,4937163,4585930,351085,351233,69857,0,5007020
